c,N_barn,iters_barn,time_barn,est_rel_err_barn,D_barn,D_GK
0.05,60,5,0.02s,8e-15,15.55782232,15.5578
0.1,60,7,0.03s,3e-14,24.83167525,24.8317
0.2,60,8,0.02s,3e-14,51.52694896,51.5269
0.3,100,10,0.02s,1e-13,102.8813037,102.881
0.4,150,10,0.03s,1e-13,217.8943147,217.894
0.5,150,12,0.03s,9e-13,5.325481184633e2,5.32548e2
0.6,300,13,0.08s,1e-12,1.763573112520e3,1.76357e3
0.7,400,20,0.14s,7e-11,1.35191501298e4,1.35193e4
0.75,500,28,0.22s,2e-10,1.2753159105e5,1.27543e5
0.76,600,32,0.31s,1e-9,2.948165200e5,2.94878e5
0.77,700,44,0.42s,7e-9,1.03826971e6,1.03903e6
0.78,1300,64,1.5s,6e-8,1.4379206e7,-
